id,vege_name,recipe,食譜網址來源,image_path
470568,南瓜,蒸南瓜（整顆）,https://icook.tw/recipes/470568,南瓜/470568_蒸南瓜（整顆）.jpg
459396,南瓜,金瓜米粉,https://icook.tw/recipes/459396,南瓜/459396_金瓜米粉.jpg
472762,南瓜,薯泥南瓜煎餅,https://icook.tw/recipes/472762,南瓜/472762_薯泥南瓜煎餅.jpg
470451,南瓜,南瓜粉蒸肉,https://icook.tw/recipes/470451,南瓜/470451_南瓜粉蒸肉.jpg
467614,南瓜,南瓜麵包,https://icook.tw/recipes/467614,南瓜/467614_南瓜麵包.jpg
473604,南瓜,南瓜鮮菇雞肉炊飯,https://icook.tw/recipes/473604,南瓜/473604_南瓜鮮菇雞肉炊飯.jpg
458001,南瓜,南瓜炒蛋,https://icook.tw/recipes/458001,南瓜/458001_南瓜炒蛋.jpg
479148,四季豆(敏豆),培根四季豆,https://icook.tw/recipes/479148,四季豆(敏豆)/479148_培根四季豆.jpg
478763,四季豆(敏豆),四季豆炒蘑菇,https://icook.tw/recipes/478763,四季豆(敏豆)/478763_四季豆炒蘑菇.jpg
479531,四季豆(敏豆),四季豆炒牛肉,https://icook.tw/recipes/479531,四季豆(敏豆)/479531_四季豆炒牛肉.jpg
451942,四季豆(敏豆),蝦醬敏豆,https://icook.tw/recipes/451942,四季豆(敏豆)/451942_蝦醬敏豆.jpg
474777,四季豆(敏豆),辣香四季豆,https://icook.tw/recipes/474777,四季豆(敏豆)/474777_辣香四季豆.jpg
475355,四季豆(敏豆),乾煸四季豆,https://icook.tw/recipes/475355,四季豆(敏豆)/475355_乾煸四季豆.jpg
474898,四季豆(敏豆),四季豆炒肉末,https://icook.tw/recipes/474898,四季豆(敏豆)/474898_四季豆炒肉末.jpg
474543,四季豆(敏豆),四季豆翠綠煮法,https://icook.tw/recipes/474543,四季豆(敏豆)/474543_四季豆翠綠煮法.jpg
473900,四季豆(敏豆),油炒四季豆,https://icook.tw/recipes/473900,四季豆(敏豆)/473900_油炒四季豆.jpg
478313,四季豆(敏豆),干煸魚香四季豆,https://icook.tw/recipes/478313,四季豆(敏豆)/478313_干煸魚香四季豆.jpg
469554,四季豆(敏豆),四季豆炒蛋,https://icook.tw/recipes/469554,四季豆(敏豆)/469554_四季豆炒蛋.jpg
476351,四季豆(敏豆),清爽涼拌四季豆(純素),https://icook.tw/recipes/476351,四季豆(敏豆)/476351_清爽涼拌四季豆(純素).jpg
476293,四季豆(敏豆),椒鹽豆包炒四季豆,https://icook.tw/recipes/476293,四季豆(敏豆)/476293_椒鹽豆包炒四季豆.jpg
472055,四季豆(敏豆),四季豆蒼蠅頭,https://icook.tw/recipes/472055,四季豆(敏豆)/472055_四季豆蒼蠅頭.jpg
469852,四季豆(敏豆),四季豆水晶蒼蠅頭,https://icook.tw/recipes/469852,四季豆(敏豆)/469852_四季豆水晶蒼蠅頭.jpg
475071,四季豆(敏豆),lanni 涼拌蒜末四季豆,https://icook.tw/recipes/475071,四季豆(敏豆)/475071_lanni_涼拌蒜末四季豆.jpg
461976,四季豆(敏豆),四季豆醬炒玉米筍,https://icook.tw/recipes/461976,四季豆(敏豆)/461976_四季豆醬炒玉米筍.jpg
474361,四季豆(敏豆),蝦皮蒜香四季豆,https://icook.tw/recipes/474361,四季豆(敏豆)/474361_蝦皮蒜香四季豆.jpg
469125,四季豆(敏豆),椒鹽四季豆炒蛋,https://icook.tw/recipes/469125,四季豆(敏豆)/469125_椒鹽四季豆炒蛋.jpg
469346,四季豆(敏豆),涼拌四季豆 / 家常菜,https://icook.tw/recipes/469346,四季豆(敏豆)/469346_涼拌四季豆___家常菜.jpg
476415,四季豆(敏豆),氣炸四季豆雞胸肉豆包卷,https://icook.tw/recipes/476415,四季豆(敏豆)/476415_氣炸四季豆雞胸肉豆包卷.jpg
