id,recipe,vege_id
459037,和風燴雞胸油豆腐悶粉絲,11
410979,家常菜|燙大陸妹(feat.豆油伯),11
453205,大陸妺+皮蛋,11
461700,什麼？印加果油可以拌麵？印加果油拌麵,11
473828,秘傳牛肉彩椒義大利麵,11
457537,奧莉廚房 金蘭醬油 手切滷肉飯,11
460354,蝦肉蔬果沙拉,11
467462,~水煮肉片~,11
411524,酸辣黑木耳醬拌大陸妹．柯媽媽の植物燕窩,11
463683,韓式豬肉蛋白質鍋,11
465802,古早味芋頭米粉湯,11
479070,減脂料理～大黃瓜玉米雞丁,47
475843,大黃瓜蒸肉,47
477943,大黃瓜鑲肉,47
476586,大黃瓜貢丸湯,47
462759,大黃瓜炒麵腸,47
460567,大黃瓜排骨湯,47
478109,大黃瓜薏仁排骨湯—新手失敗,47
468448,lanni 胡瓜炒蛋,47
459297,大黃瓜炒魚板,47
466778,大黃瓜炒貢丸,47
464550,清炒大黃瓜,47
461186,大黃瓜小籠包,47
467842,微波版胡瓜炒甜不辣,47
460725,大黃瓜玉米魚丸湯,47
466440,涼拌大黃瓜(五辛素),47
466441,酸辣涼拌大黃瓜(五辛素),47
466373,《認真系》大黃瓜鑲蔬肉,47
452329,炒大黃瓜,47
456089,大黃瓜排骨湯,47
454322,大黃瓜鑲豆腐肉/家常菜,47
445158,胡瓜火鍋湯,47
442427,大黃瓜丸子湯,47
444177,腐竹大黃瓜,47
444637,甜不辣蒜炒胡瓜,47
441311,大黃瓜封肉,47
456261,醃漬大黃瓜——風味食材／鹽醃、醋泡、油漬,47
439990,清爽大黃瓜炒雞胸,47
448456,大黃瓜鑲花枝漿蝦仁,47
436268,蝦皮大黃瓜,47
438456,電鍋大黃瓜鑲肉,47
444654,#249 大黃瓜鑲肉｜刺瓜封肉,47
444479,法式高纖｜低碳大黃瓜鑲肉,47
425852,大黃瓜蝦仁炒蛋,47
447174,蒸土魠/粉蒸肉/大黃瓜雞湯-By 格麗思,47
439052,#236 黑輪炒刺瓜｜黑輪炒大黃瓜,47
416943,大黃瓜炒蛋,47
423918,胡瓜鮮菇湯,47
416781,大黃瓜煎蛋,47
420354,【全素】大黃瓜,47
414976,大黃瓜雞湯,47
470448,黃瓜蓮藕排骨玉米湯,47
465655,黃瓜蛤蠣丸子湯,47
422357,lanni 大黃瓜肉丸湯,47
474339,清炒抱子芥菜／娃娃菜,17
475255,培根炒娃娃菜,17
478468,娃娃菜捲蝦滑,17
472740,麻油娃娃菜,17
472647,上湯娃娃菜,17
471987,糖醋娃娃菜,17
466518,娃娃菜燜魯豬皮,17
474157,香菇炒娃娃菜,17
466044,燒肉末燴娃娃菜,17
